X,CH1,CH2,
Second,Volt,Volt,
1.15482e-01,4.16e-02,5.76e+00,
1.15483e-01,4.08e-02,5.76e+00,
1.15484e-01,4.04e-02,5.76e+00,
1.15485e-01,4.12e-02,5.76e+00,
1.15486e-01,4.12e-02,5.84e+00,
1.15487e-01,4.04e-02,5.76e+00,
1.15488e-01,4.12e-02,5.76e+00,
1.15489e-01,4.12e-02,5.84e+00,
1.15490e-01,4.08e-02,5.84e+00,
1.15491e-01,4.04e-02,5.84e+00,
1.15492e-01,4.12e-02,5.84e+00,
1.15493e-01,4.12e-02,5.84e+00,
1.15494e-01,4.04e-02,5.84e+00,
1.15495e-01,4.04e-02,5.92e+00,
1.15496e-01,4.12e-02,5.92e+00,
1.15497e-01,4.04e-02,5.92e+00,
1.15498e-01,4.04e-02,5.92e+00,
1.15499e-01,4.12e-02,5.92e+00,
1.15500e-01,4.12e-02,5.92e+00,
1.15501e-01,4.08e-02,6.00e+00,
1.15502e-01,4.12e-02,5.92e+00,
1.15503e-01,4.12e-02,5.92e+00,
1.15504e-01,4.12e-02,6.00e+00,
1.15505e-01,4.12e-02,5.92e+00,
1.15506e-01,4.08e-02,6.00e+00,
1.15507e-01,4.12e-02,6.00e+00,
1.15508e-01,4.12e-02,5.92e+00,
1.15509e-01,4.08e-02,6.00e+00,
1.15510e-01,4.00e-02,6.00e+00,
1.15511e-01,4.08e-02,6.08e+00,
1.15512e-01,4.12e-02,6.00e+00,
1.15513e-01,4.04e-02,6.08e+00,
1.15514e-01,4.04e-02,6.08e+00,
1.15515e-01,4.12e-02,6.08e+00,
1.15516e-01,4.16e-02,6.08e+00,
1.15517e-01,4.04e-02,6.08e+00,
1.15518e-01,4.12e-02,6.08e+00,
1.15519e-01,4.12e-02,6.08e+00,
1.15520e-01,4.12e-02,6.08e+00,
1.15521e-01,4.12e-02,6.08e+00,
1.15522e-01,4.12e-02,6.08e+00,
1.15523e-01,4.12e-02,6.08e+00,
1.15524e-01,4.12e-02,6.08e+00,
1.15525e-01,4.12e-02,6.08e+00,
1.15526e-01,4.12e-02,6.16e+00,
1.15527e-01,4.12e-02,6.08e+00,
1.15528e-01,4.12e-02,6.16e+00,
1.15529e-01,4.08e-02,6.16e+00,
1.15530e-01,4.04e-02,6.16e+00,
1.15531e-01,4.08e-02,6.16e+00,
1.15532e-01,4.12e-02,6.16e+00,
1.15533e-01,4.04e-02,6.24e+00,
1.15534e-01,4.04e-02,6.24e+00,
1.15535e-01,4.12e-02,6.24e+00,
1.15536e-01,4.12e-02,6.24e+00,
1.15537e-01,4.04e-02,6.24e+00,
1.15538e-01,4.08e-02,6.24e+00,
1.15539e-01,4.12e-02,6.32e+00,
1.15540e-01,4.12e-02,6.24e+00,
1.15541e-01,4.04e-02,6.32e+00,
1.15542e-01,4.12e-02,6.24e+00,
1.15543e-01,4.12e-02,6.24e+00,
1.15544e-01,4.04e-02,6.24e+00,
1.15545e-01,4.04e-02,6.32e+00,
1.15546e-01,4.12e-02,6.32e+00,
1.15547e-01,4.04e-02,6.32e+00,
1.15548e-01,4.08e-02,6.24e+00,
1.15549e-01,4.12e-02,6.24e+00,
1.15550e-01,4.12e-02,6.24e+00,
1.15551e-01,4.04e-02,6.32e+00,
1.15552e-01,4.12e-02,6.32e+00,
1.15553e-01,4.08e-02,6.32e+00,
1.15554e-01,4.12e-02,6.40e+00,
1.15555e-01,4.12e-02,6.40e+00,
1.15556e-01,4.08e-02,6.40e+00,
1.15557e-01,4.04e-02,6.40e+00,
1.15558e-01,4.12e-02,6.40e+00,
1.15559e-01,4.12e-02,6.40e+00,
1.15560e-01,4.04e-02,6.40e+00,
1.15561e-01,4.04e-02,6.40e+00,
1.15562e-01,4.12e-02,6.48e+00,
1.15563e-01,4.12e-02,6.48e+00,
1.15564e-01,4.04e-02,6.48e+00,
1.15565e-01,4.08e-02,6.48e+00,
1.15566e-01,4.12e-02,6.48e+00,
1.15567e-01,4.04e-02,6.48e+00,
1.15568e-01,4.12e-02,6.48e+00,
1.15569e-01,4.12e-02,6.48e+00,
1.15570e-01,4.12e-02,6.48e+00,
1.15571e-01,4.04e-02,6.48e+00,
1.15572e-01,4.12e-02,6.48e+00,
1.15573e-01,4.08e-02,6.48e+00,
1.15574e-01,4.12e-02,6.48e+00,
1.15575e-01,4.08e-02,6.56e+00,
1.15576e-01,4.08e-02,6.56e+00,
1.15577e-01,4.08e-02,6.56e+00,
1.15578e-01,4.12e-02,6.56e+00,
1.15579e-01,4.04e-02,6.56e+00,
